simulation,participants,candidates,funds_candidates,actives,funds_actives,completed,funds_completed,failed,funds_failed
0,110,1,108396.01606795397,1,212494.46243898588,43,9841016.688173622,41,7749189.226459909
1,107,2,450313.74768129666,2,313201.3303663768,33,9082319.91408118,41,10443734.03441084
2,109,0,0.0,2,187480.636477952,38,10690903.346030397,45,12608285.962449154
3,108,1,66037.95626059844,0,0.0,42,12497378.128461657,43,14735257.290368268
4,109,2,588780.7026993231,3,591369.0110466923,33,14691016.893416941,41,14499351.016619258
5,105,1,699750.7051587367,1,219059.1564072786,34,16455606.338554842,39,15246355.162641078
6,109,1,729426.1632364969,1,219270.87253399863,36,18057982.412617955,38,16911804.109632112
7,109,2,613352.3436106084,1,200556.26744219253,48,22950341.866545472,52,20924771.13798135
8,108,1,213814.4942757184,2,450730.08566782845,45,20801109.56086559,49,23669815.909957148
