token_price,simulation,timestep,token_supply,collateral_pool,sentiment,substep,subset,funding_pool,run
0.08080711234173497,0,69,316616234.5923619,12792421.818961052,0.43480842514750034,2,0,17600778.201840207,1
0.07962837501414614,0,70,311997737.9845839,12421936.441900877,0.4918739244166094,2,0,17705183.175136123,1
0.0784463420991926,0,71,307366328.6958309,12055882.085323015,0.4606439451133299,2,0,17802016.73234344,1
0.07717782398280774,0,72,302396055.43790954,11669134.769841177,0.4557419843290161,2,0,17904096.597862653,1
0.07579880126750217,0,73,296992806.0594278,11255849.34218819,0.5085716370589166,2,0,18016949.888776742,1
0.07454828951028439,0,74,292093084.829329,10887519.925904436,0.5036206566667596,2,0,18124309.545787055,1
0.07369146474025176,0,75,288735897.26833904,10638685.59639738,0.5622067015942738,2,0,18202815.2063835,1
0.07297898587441409,0,76,285944281.91183215,10433961.855256539,0.5572557212021172,2,0,18275178.001954377,1
0.072503299290504,0,77,284080459.64818317,10298385.294228084,0.5523047408099601,2,0,18330821.935781043,1
0.07167754018711019,0,78,280844992.7391412,10065139.12670423,0.5504449850862956,2,0,18400998.620059513,1
0.0701113820110935,0,79,274708514.2770797,9630096.793090133,0.5454935287756161,2,0,18535076.249487594,1
0.06916415669735847,0,80,270997121.7590914,9371643.696939463,0.5405420724649362,2,0,18607026.91435053,1
0.06809300383361663,0,81,266800159.67787609,9083612.147877572,0.535590616154257,2,0,18693088.138308536,1
0.06687846378843279,0,82,262041381.83364993,8762462.533016324,0.5306391598435772,2,0,18787690.76410821,1
0.06646031115326644,0,83,260402987.52658263,8653231.788128419,0.5257281127612414,2,0,18827813.805789262,1
0.06618369402757765,0,84,259319153.8116868,8581349.765681513,0.5256795690719215,2,0,18270497.43578439,1
0.06567900789271817,0,85,257341706.29451266,8450973.97942143,0.520776656450562,2,0,18316051.35563922,1
0.06518443907883259,0,86,255403900.18980926,8324179.98620943,0.5158737438292026,2,0,18360681.357150543,1
0.06477363818656387,0,87,253794311.2822481,8219590.446402251,0.56980393882733,2,0,17974226.417518258,1
0.06401258737839945,0,88,250812382.659487,8027574.780287485,0.5409459635452202,2,0,18040736.6580359,1
0.06362142486013163,0,89,249279740.29597986,7929766.133196903,0.536043050923861,2,0,18084450.972531352,1
0.0632674441281717,0,90,247892782.59852585,7841771.386414624,0.5311672738120674,2,0,18128565.97822798,1
0.06235510843043713,0,91,244318093.6270982,7617240.609817699,0.5263129048800285,2,0,18203110.443893224,1
0.06164197458158362,0,92,241523911.93391395,7444005.420137481,0.5214585359479897,2,0,18259794.95247307,1
0.06072718516143786,0,93,237939608.85392517,7224701.3420562055,0.5166119357047798,2,0,18329761.090154648,1
0.05963572671186784,0,94,233663085.97738138,6967333.968999397,0.5118061104620616,2,0,18402965.073970914,1
0.059190813819769886,0,95,231919840.35783833,6863762.045865782,0.5114353801873338,2,0,18104338.75140095,1
0.05858701362792991,0,96,229554046.83241144,6724443.035058475,0.5066276878796415,2,0,18148974.671220765,1
0.05857481417325411,0,97,229506247.2601758,6721642.892432854,0.5047823680416912,2,0,17067328.753559895,1
0.05821431422557523,0,98,228093746.14861363,6639160.505591991,0.49997467573399884,2,0,17108542.800842337,1
0.05711024178114865,0,99,223767799.45974788,6389716.564990892,0.5496755732988878,2,0,17196703.11688991,1
0.056288271432592164,0,100,220547177.54708844,6207109.696731305,0.5448198040681189,2,0,17258131.239278648,1
0.05631086155929872,0,101,220635689.56848758,6212092.885165757,0.5441970766292531,2,0,16745943.963998798,1
0.05585486783720737,0,102,218849027.34158167,6111891.749232712,0.5393413073984834,2,0,16796995.516151015,1
0.055700401444569614,0,103,218243801.31393695,6078133.672987589,0.5175410969461941,2,0,16814897.385076318,1
0.05512567627531364,0,104,215991928.75294572,5953350.571257746,0.5167539637555126,2,0,16859417.7116861,1
0.0548329953027788,0,105,214845154.10928664,5890301.663049649,0.5633254860694911,2,0,16885138.361403372,1
0.05489465856761241,0,106,215086761.44010827,5903557.165834122,0.558325486069491,2,0,16906445.339348003,1
0.05499758971189184,0,107,215490063.45622554,5925717.048477514,0.5533254860694907,2,0,16923680.75033366,1
0.05481700787810129,0,108,214782512.6157902,5886867.343069079,0.5483254860694909,2,0,16949053.209210373,1
0.05446452925724723,0,109,213401440.44930613,5811404.498444967,0.5433254860694908,2,0,16985019.53416284,1
0.05414353159792222,0,110,212143716.1319387,5743104.998845132,0.5383254860694907,2,0,17012448.47898295,1
0.05400969170449731,0,111,211619308.29373714,5714746.799831857,0.533325486069491,2,0,17035885.558124702,1
0.0538144579617436,0,112,210854348.74123338,5673506.243192963,0.5305117282357448,2,0,16768157.10869709,1
0.05371318791748612,0,113,210457555.20214233,5652173.105613689,0.5255117282357449,2,0,16794307.609944925,1
0.05375626646905126,0,114,210626344.41379696,5661242.947855118,0.5205117282357449,2,0,16805705.878919993,1
0.05381377971526509,0,115,210851691.2542879,5673363.232874667,0.5845913787716849,2,0,16444878.334417515,1
0.053569535731681835,0,116,209894701.10623097,5621980.845400459,0.5796240499325537,2,0,16474895.43535292,1
0.053611802682195245,0,117,210060310.32467034,5630855.954243463,0.5746721268556306,2,0,16493891.717169184,1
0.053547878666458826,0,118,209809844.98101476,5617436.061035955,0.56976532276879,2,0,16520938.537704395,1
0.05333563699727188,0,119,208978245.43273017,5572993.919363443,0.5648614766149438,2,0,16548014.247887734,1
0.0537035090431109,0,120,210419631.69923562,5650136.296903982,0.6135145827576719,2,0,16563611.689021442,1
0.053690468350676916,0,121,210368536.01204583,5647392.612366492,0.6086098208529103,2,0,16598225.170935817,1
0.05365891782000184,0,122,210244915.57898927,5640757.323563104,0.6037050589481483,2,0,16625294.858596718,1
0.05365924555415059,0,123,210246199.6980367,5640826.228211966,0.6016664357746427,2,0,16658265.177083408,1
0.05344515959954361,0,124,209407373.92067048,5595905.260255769,0.5967607753972842,2,0,16695414.268054329,1
0.05396232905388768,0,125,211433733.24147052,5704728.343134071,0.5918551150199255,2,0,16704128.615291117,1
0.05379020316086049,0,126,210759314.23865247,5668393.165470377,0.5895826241642848,2,0,16740139.81528693,1
0.053839461285941866,0,127,210952316.08755395,5678779.527587816,0.5846760821082101,2,0,16760112.018770732,1
0.05397425555364827,0,128,211480463.32916492,5707250.286166145,0.5797792016541641,2,0,16777066.083887046,1
