substep,timestep,subset,funding_pool,collateral_pool,sentiment,token_supply,run,token_price,simulation
2,1,0,18807229.73512838,28210844.602692567,0.75,470180743.3782095,1,0.12000000000000001,0
2,2,0,18807773.670260314,28329133.71292268,0.7363276532487819,471165454.8104215,1,0.12025131903747575,0
2,3,0,18808243.22658099,28393398.926826037,0.7313276532487817,471699576.25677246,1,0.12038763804769638,0
2,4,0,18784308.901772622,28497655.748078313,0.7263276532487817,472564792.10382295,1,0.12060845930230601,0
2,5,0,18784863.74458998,28543248.053174466,0.6891079941266561,472942660.1620645,1,0.12070489916639568,0
2,6,0,18664911.732741334,28592738.56584597,0.6841079941266552,473352495.0483212,1,0.12080949763633186,0
2,7,0,17972496.549371585,28635292.732867334,0.6818042576137677,473704605.98689914,1,0.1208993637425568,0
2,8,0,17972930.004024826,28673485.561586127,0.6571729253246139,474020406.6737866,1,0.12097996270999689,0
2,9,0,17973279.117747895,28727111.222535808,0.6542737847840558,474463460.3022729,1,0.12109303930057853,0
2,10,0,17974156.404203586,28776613.76481907,0.6273610269265992,474872081.9310229,1,0.1211973281217193,0
2,11,0,17974947.26967086,28826272.17758016,0.6063749484151439,475281637.2299207,1,0.12130185523508982,0
2,12,0,17975651.045423135,28853544.786684133,0.6013749484151442,475506416.6566631,1,0.12135922366539875,0
2,13,0,17976497.31333611,28875056.290466968,0.6385263781919197,475683638.4219278,1,0.12140445438173769,0
2,14,0,17977159.903259873,28945271.677624635,0.6357431955943035,476261646.48348814,1,0.12155197417782479,0
2,15,0,17978037.25856506,29063577.250662632,0.6959142335867148,477233946.0709421,1,0.1218001254518565,0
2,16,0,17978722.38731014,29170099.02213189,0.6909142335867146,478107708.2736684,1,0.12202312791591703,0
2,17,0,17979637.254087456,29280238.62650964,0.6859142335867148,479009470.39530903,1,0.12225327654731223,0
2,18,0,17980152.747446932,29372781.41985582,0.6809142335867149,479765849.19231635,1,0.12244632030105837,0
2,19,0,17981419.49492158,29518563.464054987,0.6759142335867147,480954954.8032232,1,0.12274980502542965,0
2,20,0,17981883.69212674,29603900.530594833,0.6709142335867148,481649664.4929391,1,0.12292710952787896,0
2,21,0,17982568.63406212,29702307.37063459,0.6659142335867149,482449530.3409646,1,0.12313125209031872,0
2,22,0,17983734.62639007,29800633.67734088,0.6609142335867146,483247419.29909015,1,0.12333489010893924,0
2,23,0,17544848.025434993,29877657.519935485,0.6590865425286733,483871526.0466497,1,0.12349417525781421,0
2,24,0,17545526.35019666,29965483.766734764,0.6540865425286733,484582181.42249477,1,0.12367554943423983,0
2,25,0,17546068.703590285,30087540.64508345,0.6509996505771026,485568090.43510103,1,0.12392717411938263,0
2,26,0,17546857.270011693,30165126.79229317,0.6459996505771021,486193749.7764025,1,0.12408685552278666,0
2,27,0,17548246.4150493,30256851.66541098,0.6409996505771023,486932387.6461555,1,0.12427537141931935,0
2,28,0,17549011.47233455,30314281.169725396,0.6359996505771023,487394283.50083506,1,0.12439325694173212,0
2,29,0,17553292.520120703,30388472.46792501,0.6309996505771024,487990344.42458034,1,0.12454538420737789,0
2,30,0,17564808.93478176,30398191.47398524,0.626634420677277,488068374.04526854,1,0.12456529900528157,0
2,31,0,17591592.621064104,30373416.731366087,0.6216344206772769,487869443.9036235,1,0.12451452785539169,0
2,32,0,17632372.613312718,30287004.64221585,0.6166344206772771,487174957.5764394,1,0.12433728035975135,0
2,33,0,17684141.052134417,30154300.70780212,0.6116344206772771,486106495.9252665,1,0.12406458650755416,0
2,34,0,17763141.62222462,29880922.453733496,0.6066344206772771,483897963.2822579,1,0.12350092259555118,0
2,35,0,17803495.624049578,29768660.556297675,0.6016344206772772,482988111.47780204,1,0.12326870930720966,0
2,36,0,17423480.402242023,29898773.100191776,0.7230308874644045,484042480.2698034,1,0.12353780636578145,0
2,37,0,17098095.022457216,29826148.183945246,0.7823919045265924,483454246.80514854,1,0.12338767683208038,0
2,38,0,17139125.686427116,29839204.08229735,0.7773919045265922,483560047.2404069,1,0.12341467932507867,0
2,39,0,17197439.46943576,29868236.95157638,0.772391904526593,483795236.5289935,1,0.12347470457074829,0
2,40,0,17253371.094230168,29891786.65243778,0.7673919045265922,483985923.85085666,1,0.12352337197992198,0
2,41,0,17389001.62189317,29568999.95463093,0.762391904526592,481365667.997809,1,0.1228546276580968,0
2,42,0,17474700.54842093,29505728.568499934,0.7583792567644387,480850382.00139016,1,0.1227231158502631,0
2,43,0,17530574.37450386,29523734.013840403,0.7506463690571796,480997075.63088864,1,0.12276055514523154,0
2,44,0,17585892.541826047,29537400.176863365,0.7409426469327491,481108386.48231983,1,0.12278896401216166,0
2,45,0,17683224.51269824,29335706.861994088,0.7406463690571794,479462971.4569141,1,0.12236901954223289,0
2,46,0,17775678.815791495,29179069.463758137,0.7383792567644386,478181216.89645046,1,0.12204188886020938,0
2,47,0,17837718.448424257,29121528.87854916,0.7333792567644378,477709501.97140795,1,0.12192149730482921,0
