simulation,participants,candidates,funds_candidates,actives,funds_actives,completed,funds_completed,failed,funds_failed
0,104,3,1109466.6409285918,1,147283.28530684163,37,12148158.895892562,44,13910718.531942798
1,108,1,456670.4987555414,1,328014.78365339077,40,14357517.422678467,38,13100153.802708065
2,119,1,144177.90366873,3,570749.2456777646,47,16227034.337154442,32,10199703.764820855
3,105,0,0.0,0,0.0,40,12189276.381589495,43,15155865.74777682
4,106,0,0.0,1,79158.23730179899,40,12458350.109070517,41,14493455.92041765
5,104,0,0.0,1,191683.83427801853,34,13105600.859354686,36,11812626.292999897
6,109,2,159300.22272910946,2,428903.251454391,38,14069228.970836394,42,12908208.470864188
7,107,1,195815.6459219466,1,102704.52447541496,35,12942368.899456892,53,15131167.336199937
8,110,1,62212.38286575302,3,849196.9360676014,38,13688630.837000886,42,12721957.876916345
