collateral_pool,substep,funding_pool,timestep,token_price,subset,run,token_supply,sentiment,simulation
42316266.904038854,2,4701807.433782095,1,0.18000000000000002,0,1,470180743.3782095,0.75,0
42434556.014268965,2,4702351.368914029,2,0.18025140663911385,0,1,470837446.49192476,0.7363276532487819,0
42498821.2281909,2,4702820.925230057,3,0.18038784629810556,0,1,471193842.6046525,0.7313276532487817,0
42603078.05003265,2,4678886.600274321,4,0.18060897176878998,0,1,471771447.8167984,0.7263276532487817,0
42648670.4148737,2,4679441.428155455,5,0.1807055867159747,0,1,472023817.192847,0.6891079941266561,0
42698160.99523477,2,4559489.399384416,6,0.18081040395052417,0,1,472297611.88873214,0.6841079941266552,0
42740715.27333784,2,4369624.806428926,7,0.1809004820698971,0,1,472532906.3172259,0.6818042576137677,0
42778908.53089899,2,4370058.153871579,8,0.1809812906833346,0,1,472743987.7279892,0.6571729253246139,0
42832534.547657736,2,4370407.178642387,9,0.18109469079584947,0,1,473040201.89021933,0.6542737847840558,0
42882039.85594448,2,4371283.77359721,10,0.18119931406453835,0,1,473313489.9249237,0.6273610269265992,0
42931701.79513289,2,4372073.757457651,11,0.18130420769237718,0,1,473587484.1688843,0.6063749484151439,0
42958977.401689164,2,4372776.783846853,12,0.18136179214429193,0,1,473737901.3933749,0.6013749484151442,0
42980492.93009189,2,4373622.045604856,13,0.181407202982353,0,1,473856519.7355803,0.6385263781919197,0
43050709.92378909,2,4374284.233893734,14,0.18155532448305461,0,1,474243430.1650813,0.6357431955943035,0
43169020.01403009,2,4375160.459898169,15,0.18180462454828963,0,1,474894630.66506153,0.6959142335867148,0
43275543.45411631,2,4375845.17148901,16,0.18202879597521718,0,1,475480192.2659334,0.6909142335867146,0
43385690.97770267,2,4376758.0584641695,17,0.1822603040924883,0,1,476084918.1474703,0.6859142335867148,0
43478236.70342407,2,4377272.81872984,18,0.18245458965499112,0,1,476592414.4263882,0.6809142335867149,0
43624026.79815528,2,4378537.553571474,19,0.18276023464619748,0,1,477390794.3662506,0.6759142335867147,0
43709364.78650321,2,4379001.520324611,20,0.18293890649168845,0,1,477857505.8169934,0.6709142335867148,0
43807777.93572914,2,4379684.884963448,21,0.1831447373411556,0,1,478395159.7159524,0.6659142335867149,0
43906127.720672175,2,4380845.007732213,22,0.18335020481979253,0,1,478931864.4484278,0.6609142335867146,0
43983164.84794513,2,4274844.056123542,23,0.1835109862806094,0,1,479351844.15269625,0.6590865425286733,0
44071001.619048625,2,4275519.749809155,24,0.1836941355940152,0,1,479830251.26562035,0.6540865425286733,0
44193064.155865826,2,4276060.688585653,25,0.18394834660889034,0,1,480494279.7320033,0.6509996505771026,0
44270659.99852462,2,4276846.831144791,26,0.18410976749229477,0,1,480915929.681758,0.6459996505771021,0
44362418.38082467,2,4278227.59888684,27,0.18430046794466698,0,1,481414061.23986316,0.6409996505771023,0
44419857.26638786,2,4278990.310859898,28,0.18441974220305518,0,1,481725619.34805673,0.6359996505771023,0
44488761.90090103,2,4284593.024567661,29,0.18456272387357608,0,1,482099103.94880664,0.6309996505771024,0
44478831.09358697,2,4301021.892572293,30,0.18454212362461334,0,1,482045293.7245228,0.626634420677277,0
44403912.30775519,2,4340341.589657793,31,0.1843866395629832,0,1,481639151.43740773,0.6216344206772769,0
44241254.808315046,2,4400182.934478881,32,0.1840486131972275,0,1,480756187.6155608,0.6166344206772771,0
44012147.45725154,2,4476052.227463022,33,0.1835714384030446,0,1,479509752.06305933,0.6116344206772771,0
43589257.82556476,2,4592430.641957767,34,0.1826873888695192,0,1,477200512.80274755,0.6066344206772771,0
43402105.38956714,2,4651507.278423175,35,0.18229477873973643,0,1,476174969.89897484,0.6016344206772772,0
43482213.05802044,2,4588080.537738947,36,0.1824629327665569,0,1,476614207.5952664,0.7230308874644045,0
43251892.16940491,2,4605349.072076202,37,0.1819790472843142,0,1,475350242.95220643,0.7823919045265924,0
43188594.86605387,2,4665468.036471888,38,0.18184583923513722,0,1,475002288.1767288,0.7773919045265922,0
43109503.89602838,2,4750812.779306664,39,0.18167925643149058,0,1,474567154.6964365,0.772391904526593,0
43029479.9606001,2,4832637.813173491,40,0.18151055300112753,0,1,474126481.89477783,0.7673919045265922,0
42454721.59593849,2,5031261.2575501865,41,0.1802942307318806,0,1,470949307.95732236,0.762391904526592,0
42233980.930917636,2,5156327.50380041,42,0.17982490560181752,0,1,469723376.632105,0.7583792567644387,0
42150061.8633742,2,5237682.458104316,43,0.1796461604082465,0,1,469256473.5877243,0.7506463690571796,0
42062783.152741976,2,5318236.843840302,44,0.17946007040489917,0,1,468770385.05378497,0.7409426469327491,0
41683362.37665885,2,5460000.680015959,45,0.17864884107896323,0,1,466651360.56756955,0.7406463690571794,0
41358047.43013943,2,5594624.370180081,46,0.1779503492548801,0,1,464826819.42817515,0.7383792567644386,0
41189207.602792725,2,5684488.813347275,47,0.1775867461008157,0,1,463877046.0877714,0.7333792567644378,0
41057682.52875036,2,5769133.007567591,48,0.1773029850495876,0,1,463135829.5210592,0.7283792567644383,0
41058902.51520784,2,5830498.5227578115,49,0.17730561921718424,0,1,463142710.2703856,0.7233792567644389,0
40404059.80240123,2,6024450.564641485,50,0.17588602493634423,0,1,459434566.41338116,0.7183792567644387,0
