simulation,participants,candidates,funds_candidates,actives,funds_actives,completed,funds_completed,failed,funds_failed
0,102,1,88239.98738314093,1,22648.05465816772,31,7303493.251406703,44,11119204.242207527
1,110,3,270703.48164782324,1,141133.01863681225,35,8940277.614752002,43,11604448.381631158
2,110,0,0.0,0,0.0,44,11571668.152438974,42,11648493.638095357
3,111,0,0.0,2,185178.6281926914,45,12687861.583116312,39,12370678.820477929
4,108,1,66037.95626059844,0,0.0,42,12497378.128461657,43,14735257.290368268
5,108,1,74464.41652967251,0,0.0,42,13398559.617315318,43,15853640.776100114
6,108,1,82890.87679874677,0,0.0,42,14299741.106168974,43,16972024.261831958
7,107,1,91543.98582972922,1,89134.40218241478,41,15111788.192840202,43,18090407.747563787
8,103,2,343936.3655559283,3,396613.8568385119,36,14605177.580364104,51,21277851.022203803
