collateral_pool,substep,token_supply,simulation,run,sentiment,funding_pool,timestep,token_price,subset
28210844.602692567,2,470180743.3782095,0,1,0.75,18807229.73512838,1,0.12000000000000001,0
28329133.71292268,2,471165454.8104215,0,1,0.7363276532487819,18807773.670260314,2,0.12025131903747575,0
28393398.926826037,2,471699576.25677246,0,1,0.7313276532487817,18808243.22658099,3,0.12038763804769638,0
28497655.748078313,2,472564792.10382295,0,1,0.7263276532487817,18784308.901772622,4,0.12060845930230601,0
28543248.053174466,2,472942660.1620645,0,1,0.6891079941266561,18784863.74458998,5,0.12070489916639568,0
28592738.56584597,2,473352495.0483212,0,1,0.6841079941266552,18664911.732741334,6,0.12080949763633186,0
28635292.732867334,2,473704605.98689914,0,1,0.6818042576137677,17995519.599126063,7,0.1208993637425568,0
28742237.584424242,2,474588359.0684616,0,1,0.7205843528638788,17972972.8019327,8,0.12112491608871528,0
28820619.272941805,2,475235032.98143834,0,1,0.6923159776458675,17973728.377894457,9,0.12128996085213893,0
28906817.69327465,2,475945182.97317696,0,1,0.6873159776458676,17974585.731448453,10,0.12147120604392699,0
29144220.19978205,2,477895579.925011,0,1,0.775821274914519,17975076.861773256,11,0.12196898830642135,0
29264890.805377875,2,478883912.7553896,0,1,0.7708212749145192,17975576.515463725,12,0.12222123160076236,0
29395232.82058004,2,479949171.2559408,0,1,0.7661433416006428,17976317.111107387,13,0.12249310794165139,0
29591466.337202642,2,481548502.9235926,0,1,0.7611433416006426,17976814.25417131,14,0.12290129097088243,0
29750745.22391471,2,482842754.0003048,0,1,0.7561433416006429,17977293.655938998,15,0.12323161102629254,0
29944857.421340927,2,484415374.83721155,0,1,0.7511433416006427,17978234.27368933,16,0.12363297689056191,0
30069726.990335803,2,485424326.22562116,0,1,0.7461433416006432,17978944.464257214,17,0.12389048247392385,0
30181715.749478504,2,486327419.6725154,0,1,0.7411433416006429,17979556.02117411,18,0.12412097088748299,0
30344227.57566775,2,487634963.86069065,0,1,0.7361433416006422,17979949.989814837,19,0.12445468362410782,0
30454063.00716184,2,488516700.2193849,0,1,0.7311433416006429,17980482.610952478,20,0.12467972126023703,0
30565188.220922388,2,489407174.02465916,0,1,0.726143341600643,17981030.202491336,21,0.12490698887622903,0
30695743.32146229,2,490451278.81424755,0,1,0.7211433416006423,17981797.27104625,22,0.12517346634583018,0
30787148.596813522,2,491180964.84807545,0,1,0.7210453023849565,17542391.988928735,23,0.1253596975458368,0
30882980.651278406,2,491944827.53578746,0,1,0.7160453023849567,17543224.04871661,24,0.12555465134566038,0
31016733.602037087,2,493008973.2477778,0,1,0.7110453023849562,17543828.261320565,25,0.12582624367953893,0
31099040.478134178,2,493662671.1017378,0,1,0.6837381768175982,17546033.92672319,26,0.12599308110021165,0
31172484.483437926,2,494245248.28888583,0,1,0.6787381768175978,17547734.184184756,27,0.12614176703310517,0
31249235.07701311,2,494853321.3406178,0,1,0.6737381768175982,17548712.91824368,28,0.12629696004608046,0
31336156.510830633,2,495541074.02713966,0,1,0.6687381768175983,17551833.77689624,29,0.12647248897521027,0
31307734.842375707,2,495316296.9537088,0,1,0.663738176817598,17574883.528035037,30,0.12641512114551587,0
31251950.850505315,2,494874823.9523111,0,1,0.6587381768175987,17609432.19408036,31,0.12630244796416207,0
31169142.946576104,2,494218757.2503163,0,1,0.6537381768175985,17645566.764943995,32,0.12613500596372257,0
31084267.45073998,2,493545404.4860176,0,1,0.6487381768175982,17683591.00547087,33,0.12596315219715762,0
30732795.070012882,2,490747192.7599931,0,1,0.6437381768175984,17783486.032324754,34,0.12524898979928836,0
30627324.305486836,2,489904380.28999263,0,1,0.6387381768175983,17821058.599007532,35,0.1250338863569964,0
30408801.57224703,2,488153543.6123825,0,1,0.6337381768175981,17884516.2821194,36,0.1245870360674595,0
30118387.430875413,2,485816937.2579539,0,1,0.636885799906373,17151421.431874733,37,0.12399068505461956,0
29901773.88068606,2,484066770.04224837,0,1,0.631885799906373,17221190.27034004,38,0.12354400562582014,0
29611863.759884022,2,481714440.22775793,0,1,0.6268857999063728,17303373.102622043,39,0.12294364165576324,0
29327279.282302927,2,479394096.3030582,0,1,0.6218857999063728,17387769.579494897,40,0.12235144115651822,0
28238081.26467645,2,470407660.804255,0,1,0.5650472678097225,17668701.425547123,41,0.12005791409263133,0
27827405.87764276,2,466974488.6293259,0,1,0.5600472678097231,17778536.944859847,42,0.11918169645336468,0
27305196.947443057,2,462572116.8790367,0,1,0.5550472678097229,17914800.15264178,43,0.1180581187282562,0
26943182.30781893,2,459495474.8864042,0,1,0.5540747586728093,18014922.561947994,44,0.11727289507902026,0
26229555.04993786,2,453369453.6809806,0,1,0.5490747586728096,18199767.060505502,45,0.11570940581451097,0
25455974.218693472,2,446633870.9644592,0,1,0.5440747586728096,18399145.909599196,46,0.11399034365093698,0
25033865.293018457,2,442915368.00878364,0,1,0.5390747586728094,18507611.822670322,47,0.1130413036041775,0
24457239.679505993,2,437784633.7620278,0,1,0.5340747586728095,18654671.292254657,48,0.11173183247359261,0
23947589.136025093,2,433199247.1156164,0,1,0.5290747586728093,18785238.427884787,49,0.11056154550348853,0
23324633.736473683,2,427527652.69706357,0,1,0.5298620358363485,17809208.806549266,50,0.1091140354984289,0
22444871.98201281,2,419387382.45071083,0,1,0.5296697281440408,17266737.663330346,51,0.10703646757732717,0
21890553.465063807,2,414176224.5945587,0,1,0.5246697281440406,17407840.382479243,52,0.10570647065264403,0
21204911.168036953,2,407638338.4050236,0,1,0.5206944382371408,17581605.66462955,53,0.10403786479459182,0
20573783.855981205,2,401526192.3276373,0,1,0.5737975052819729,17406395.35062858,54,0.10247791675414993,0
